DateTime,Temp1,Temp2
20210101_084453,23.8,24.2
20210101_084553,23.8,24.1
20210101_084653,23.7,24.1
20210101_084754,23.6,24.1
20210101_084854,23.6,24.0
20210101_084954,23.6,23.9
20210101_085055,23.6,23.9
20210101_085155,23.5,23.9
20210101_085255,23.5,23.8
20210101_085356,23.4,23.8
20210101_085456,23.4,23.7
20210101_085556,23.4,23.7
20210101_085657,23.4,23.6
20210101_085757,23.3,23.6
20210101_085857,23.3,23.6
20210101_085958,23.3,23.5
20210101_090058,23.2,23.4
20210101_090158,23.2,23.4
20210101_090259,23.2,23.4
20210101_090359,23.1,23.4
20210101_090459,23.1,23.3
20210101_090600,23.1,23.3
20210101_090700,23.1,23.3
20210101_090800,23.0,23.2
20210101_090901,23.0,23.2
20210101_091001,22.9,23.1
20210101_091101,22.9,23.1
20210101_091202,22.9,23.1
20210101_091302,22.9,23.0
20210101_091402,22.9,23.0
20210101_091503,22.8,23.0
20210101_091603,22.8,22.9
20210101_091703,22.8,22.9
20210101_091804,22.8,22.9
20210101_091904,22.8,22.8
20210101_092004,22.7,22.8
20210101_092105,22.7,22.8
20210101_092205,22.6,22.8
20210101_092305,22.6,22.8
20210101_092406,22.6,22.7
20210101_092506,22.6,22.7
20210101_092606,22.6,22.6
20210101_092707,22.5,22.6
20210101_092807,22.5,22.6
20210101_092907,22.5,22.6
20210101_093008,22.4,22.5
20210101_093108,22.4,22.5
20210101_093208,22.4,22.5
20210101_093309,22.4,22.4
20210101_093409,22.4,22.4
20210101_093509,22.3,22.4
20210101_093610,22.3,22.4
20210101_093710,22.3,22.4
20210101_093810,22.3,22.4
20210101_093911,22.3,22.3
20210101_094011,22.3,22.3
20210101_094111,22.2,22.3
20210101_094212,22.2,22.3
20210101_094312,22.2,22.3
20210101_094412,22.1,22.3
20210101_094513,22.1,22.2
20210101_094613,22.1,22.2
20210101_094713,22.1,22.2
20210101_094814,22.1,22.1
20210101_094914,22.1,22.1
20210101_095014,22.1,22.1
20210101_095115,22.0,22.1
20210101_095215,22.0,22.1
20210101_095315,22.0,22.1
20210101_095416,21.9,22.1
20210101_095516,21.9,22.0
20210101_095616,21.9,22.0
20210101_095717,21.9,22.0
20210101_095817,21.9,21.9
20210101_095917,21.9,21.9
20210101_100018,21.9,21.9
20210101_100118,21.8,21.9
20210101_100218,21.8,21.9
20210101_100319,21.8,21.9
20210101_100419,21.7,21.9
20210101_100519,21.7,21.8
20210101_100620,21.7,21.8
20210101_100720,21.7,21.8
20210101_100820,21.7,21.8
20210101_100921,21.7,21.7
20210101_101021,21.7,21.7
20210101_101121,21.7,21.7
20210101_101222,21.7,21.7
20210101_101322,21.6,21.7
20210101_101422,21.6,21.7
20210101_101523,21.6,21.7
20210101_101623,21.6,21.7
20210101_101723,21.6,21.6
20210101_101824,21.6,21.6
20210101_101924,21.6,21.6
20210101_102024,21.5,21.6
20210101_102125,21.5,21.6
20210101_102225,21.5,21.6
20210101_102325,21.5,21.6
20210101_102426,21.5,21.6
20210101_102526,21.4,21.6
20210101_102626,21.4,21.5
20210101_102727,21.4,21.5
20210101_102827,21.4,21.5
20210101_102927,21.4,21.5
20210101_103028,21.4,21.5
20210101_103128,21.4,21.4
20210101_103229,21.4,21.4
20210101_103329,21.3,21.4
20210101_103429,21.3,21.4
20210101_103530,21.3,21.4
20210101_103630,21.3,21.4
20210101_103730,21.3,21.4
20210101_103830,21.3,21.4
20210101_103931,21.3,21.4
20210101_104031,21.3,21.4
20210101_104131,21.3,21.4
20210101_104232,21.3,21.3
20210101_104332,21.2,21.3
20210101_104432,21.2,21.3
20210101_104533,21.2,21.3
20210101_104633,21.2,21.3
20210101_104733,21.2,21.3
20210101_104834,21.2,21.3
20210101_104934,21.1,21.3
20210101_105034,21.1,21.3
20210101_105135,21.1,21.3
20210101_105235,21.1,21.2
20210101_105335,21.1,21.2
20210101_105436,21.1,21.2
20210101_105536,21.1,21.2
20210101_105636,21.1,21.2
20210101_105737,21.1,21.2
20210101_105837,21.1,21.2
20210101_105937,21.1,21.2
20210101_110038,21.0,21.1
20210101_110138,21.0,21.1
20210101_110238,21.0,21.1
20210101_110339,21.0,21.1
20210101_110439,21.0,21.1
20210101_110539,21.0,21.1
20210101_110640,21.0,21.1
20210101_110740,20.9,21.1
20210101_110840,20.9,21.1
20210101_110940,20.9,21.1
20210101_111041,20.9,21.1
20210101_111141,20.9,21.1
20210101_111241,20.9,21.0
20210101_111342,20.9,21.0
20210101_111442,20.9,21.0
20210101_111542,20.9,21.0
20210101_111643,20.9,21.0
20210101_111743,20.9,21.0
20210101_111843,20.9,21.0
20210101_111944,20.9,20.9
20210101_112044,20.8,20.9
20210101_112144,20.8,20.9
20210101_112245,20.8,20.9
20210101_112345,20.8,20.9
20210101_112445,20.8,20.9
20210101_112546,20.8,20.9
20210101_112646,20.8,20.9
20210101_112746,20.8,20.9
20210101_112847,20.8,20.9
20210101_112947,20.8,20.9
20210101_113047,20.8,20.9
20210101_113148,20.8,20.9
20210101_113248,20.8,20.9
20210101_113348,20.8,20.9
20210101_113449,20.8,20.8
20210101_113549,20.7,20.8
20210101_113649,20.7,20.8
20210101_113750,20.7,20.8
20210101_113850,20.7,20.8
20210101_113950,20.7,20.8
20210101_114051,20.7,20.8
20210101_114151,20.7,20.8
20210101_114251,20.7,20.8
20210101_114352,20.6,20.8
20210101_114452,20.6,20.8
20210101_114552,20.6,20.8
20210101_114653,20.6,20.8
20210101_114753,20.6,20.8
20210101_114853,20.6,20.8
20210101_114954,20.6,20.8
20210101_115054,20.6,20.8
20210101_115154,20.6,20.7
20210101_115255,20.6,20.7
20210101_115355,20.6,20.7
20210101_115455,20.6,20.7
20210101_115556,20.6,20.7
20210101_115656,20.6,20.7
20210101_115756,20.6,20.7
20210101_115857,20.6,20.7
20210101_115957,20.6,20.7
20210101_120057,20.6,20.7
20210101_120158,20.5,20.6
20210101_120258,20.5,20.6
20210101_120358,20.5,20.6
20210101_120459,20.5,20.6
20210101_120559,20.5,20.6
20210101_120659,20.5,20.6
20210101_120800,20.5,20.6
20210101_120900,20.5,20.6
20210101_121000,20.4,20.6
20210101_121101,20.4,20.6
20210101_121201,20.4,20.6
20210101_121301,20.4,20.6
20210101_121402,20.4,20.6
20210101_121502,20.4,20.6
20210101_121602,20.4,20.6
20210101_121703,20.4,20.6
20210101_121803,20.4,20.6
20210101_121903,20.4,20.6
20210101_122004,20.4,20.6
20210101_122104,20.4,20.6
20210101_122204,20.4,20.5
20210101_122305,20.4,20.5
20210101_122405,20.4,20.5
20210101_122505,20.4,20.5
20210101_122606,20.4,20.5
20210101_122706,20.4,20.5
20210101_122806,20.4,20.5
20210101_122907,20.4,20.5
20210101_123007,20.4,20.5
20210101_123107,20.4,20.5
20210101_123208,20.4,20.5
20210101_123308,20.3,20.5
20210101_123408,20.3,20.5
20210101_123509,20.3,20.5
20210101_123609,20.3,20.4
20210101_123709,20.3,20.5
20210101_123810,20.3,20.4
20210101_123910,20.3,20.4
20210101_124010,20.3,20.4
20210101_124111,20.3,20.4
20210101_124211,20.3,20.4
20210101_124311,20.3,20.4
20210101_124412,20.3,20.4
20210101_124512,20.3,20.4
20210101_124612,20.3,20.4
20210101_124713,20.3,20.4
20210101_124813,20.3,20.4
20210101_124913,20.3,20.4
20210101_125014,20.3,20.4
20210101_125114,20.3,20.4
20210101_125214,20.3,20.4
20210101_125315,20.3,20.4
20210101_125415,20.3,20.4
20210101_125515,20.3,20.4
20210101_125616,20.3,20.4
20210101_125716,20.2,20.4
20210101_125816,20.2,20.4
20210101_125917,20.2,20.4
20210101_130017,20.3,20.4
20210101_130117,20.2,20.4
20210101_130218,20.2,20.3
20210101_130318,20.2,20.4
20210101_130418,20.2,20.4
20210101_130519,20.2,20.3
20210101_130619,20.2,20.3
20210101_130719,20.2,20.3
20210101_130820,20.2,20.3
20210101_130920,20.2,20.3
20210101_131021,20.2,20.3
20210101_131121,20.2,20.3
20210101_131221,20.1,20.3
20210101_131322,20.2,20.3
20210101_131422,20.1,20.3
20210101_131522,20.1,20.3
20210101_131622,20.1,20.3
20210101_131723,20.1,20.3
20210101_131823,20.1,20.3
20210101_131923,20.1,20.3
20210101_132024,20.1,20.3
20210101_132124,20.1,20.3
20210101_132224,20.1,20.3
20210101_132325,20.1,20.3
20210101_132425,20.1,20.3
20210101_132525,20.1,20.3
20210101_132626,20.1,20.3
20210101_132726,20.1,20.3
20210101_132826,20.1,20.3
20210101_132927,20.1,20.3
20210101_133027,20.1,20.3
20210101_133127,20.1,20.3
20210101_133228,20.1,20.3
20210101_133328,20.1,20.3
20210101_133428,20.1,20.3
20210101_133529,20.1,20.3
20210101_133629,20.1,20.3
20210101_133729,20.1,20.3
20210101_133830,20.1,20.2
20210101_133930,20.1,20.2
20210101_134030,20.1,20.2
20210101_134131,20.1,20.2
20210101_134231,20.1,20.2
20210101_134331,20.1,20.2
20210101_134432,20.0,20.2
20210101_134532,20.0,20.2
20210101_134632,20.1,20.2
20210101_134733,20.0,20.2
20210101_134833,20.0,20.2
20210101_134933,20.0,20.2
20210101_135033,20.0,20.2
20210101_135134,20.0,20.2
20210101_135234,20.0,20.2
20210101_135334,20.0,20.2
20210101_135435,20.0,20.2
20210101_135535,20.0,20.2
20210101_135635,20.0,20.2
20210101_135736,20.0,20.1
20210101_135836,20.0,20.1
20210101_135936,20.0,20.1
20210101_140037,20.0,20.1
20210101_140137,20.0,20.1
20210101_140237,20.0,20.1
20210101_140338,20.0,20.1
20210101_140438,19.9,20.1
20210101_140538,19.9,20.1
20210101_140639,19.9,20.1
20210101_140739,19.9,20.1
20210101_140839,19.9,20.1
20210101_140940,19.9,20.1
20210101_141040,19.9,20.1
20210101_141140,19.9,20.1
20210101_141241,19.9,20.1
20210101_141341,19.9,20.1
20210101_141441,19.9,20.1
20210101_141542,19.9,20.1
20210101_141642,19.9,20.1
20210101_141742,19.9,20.1
20210101_141843,19.9,20.1
20210101_141943,19.9,20.1
20210101_142043,19.9,20.1
20210101_142144,19.9,20.1
20210101_142244,19.9,20.1
20210101_142344,19.9,20.1
20210101_142445,19.9,20.1
20210101_142545,19.9,20.1
20210101_142645,19.9,20.1
20210101_142746,19.9,20.1
20210101_142846,19.9,20.1
20210101_142946,19.9,20.1
20210101_143047,19.9,20.1
20210101_143147,19.9,20.1
20210101_143247,19.9,20.1
20210101_143348,19.9,20.1
20210101_143448,19.9,20.1
20210101_143548,19.9,20.1
20210101_143649,19.9,20.1
20210101_143749,19.9,20.1
20210101_143849,19.9,20.1
20210101_143950,19.9,20.1
20210101_144050,19.9,20.1
20210101_144150,19.8,20.1
20210101_144251,19.8,20.1
20210101_144351,19.9,20.1
20210101_144451,19.9,20.0
20210101_144552,19.8,20.1
20210101_144652,19.8,20.1
20210101_144752,19.8,20.0
20210101_144853,19.8,20.0
20210101_144953,19.8,20.0
20210101_145053,19.8,20.0
20210101_145154,19.8,20.0
20210101_145254,19.8,20.0
20210101_145354,19.8,20.0
20210101_145455,19.8,20.0
20210101_145555,19.8,20.0
20210101_145655,19.8,20.0
20210101_145756,19.8,20.0
20210101_145856,19.8,20.0
20210101_145956,19.8,20.0
20210101_150057,19.8,20.0
20210101_150157,19.8,20.0
20210101_150257,19.8,20.0
20210101_150358,19.8,20.0
20210101_150458,19.8,20.0
20210101_150558,19.8,20.0
20210101_150659,19.8,20.0
20210101_150759,19.8,20.0
20210101_150859,19.8,20.0
20210101_151000,19.8,20.0
20210101_151100,19.8,20.0
20210101_151200,19.8,20.0
20210101_151301,19.8,19.9
20210101_151401,19.8,20.0
20210101_151501,19.8,20.0
20210101_151602,19.8,19.9
20210101_151702,19.8,19.9
20210101_151802,19.8,19.9
20210101_151903,19.8,19.9
20210101_152003,19.8,19.9
20210101_152103,19.8,19.9
20210101_152204,19.8,19.9
20210101_152304,19.8,19.9
20210101_152404,19.8,19.9
20210101_152505,19.8,19.9
20210101_152605,19.8,19.9
20210101_152705,19.8,19.9
20210101_152806,19.8,19.9
20210101_152906,20.6,20.1
20210101_153006,21.4,20.4
20210101_153107,21.9,20.5
20210101_153207,22.1,20.6
20210101_153307,22.2,20.6
20210101_153408,22.3,20.6
